Label,LogLoss,Accuracy,Macro F1
Q1,0.674,0.568,0.568
Q2,0.662,0.526,0.494
Q3,0.677,0.579,0.494
S1,0.564,0.695,0.549
S2,0.704,0.621,0.498
S3,0.615,0.674,0.534
S4,0.661,0.674,0.659
