Label,Feature,Importance
S1,gps_w21_24_gps_lat_mean_max,0.0014182843064459646
S1,screen_w18_24_sum,0.0014165121785780907
S1,app_day_app_max_time_mean,0.0014122920422124264
S1,charging_w22_24_ratio,0.0014100823852308561
S1,ble_day_rssi_max_count,0.0014093145809312407
S2,month,0.00907386307504166
S2,w18_24_app_top_캐시워크,0.008198739372376248
S2,w22_24_app_top_캐시워크,0.006511638057215801
S2,gps_w21_24_gps_lat_mean_median,0.0062881772310480165
S2,day_app_top_캐시워크,0.00597228248093412
S2,w20_02_app_top_캐시워크,0.0057145558771103675
S2,w21_24_app_top_캐시워크,0.00558930785259453
S2,screen_w21_24_sum,0.00537139590915809
S2,wifi_w21_24_unique_count_median,0.005043769082418889
S2,gps_w21_24_gps_point_count_max,0.004929994811719517
S2,gps_w21_24_gps_lat_mean_mean,0.0048267811361012505
S2,w20_24_app_top_캐시워크,0.004772197488376918
S2,watch_light_w21_24_w_light_count,0.00461912162836936
S2,gps_w21_24_gps_lat_mean_min,0.004590162258059031
S2,w20_02_app_top_통화,0.004551486085111624
S2,screen_w21_24_ratio,0.004495295629713758
S2,dayofmonth,0.004379638967651534
S2,wifi_w21_24_rssi_max_max,0.004308538139484085
S2,gps_w21_24_gps_lon_mean_median,0.004199308116603442
S2,wifi_w21_24_rssi_std_max,0.004169449383252212
S2,gps_w21_24_gps_lon_mean_max,0.004144384013804166
S2,wifi_w21_24_rssi_min_median,0.004108472839050681
S2,is_weekend,0.004051230713697958
S2,gps_w21_24_gps_lat_mean_sum,0.004039334240087585
S2,app_w21_24_app_max_time_min,0.003966500684171847
S2,watch_light_w21_24_w_light_max,0.003956332194934637
S2,phone_light_w21_24_m_light_max,0.003922097143412479
S2,w18_24_app_top_시스템_ui,0.0038552295399336633
S2,wifi_w21_24_unique_count_min,0.00382816414970299
S2,app_w21_24_app_total_time_min,0.0036447237333962277
S3,month,0.004352890848503146
S3,wifi_day_rssi_std_max,0.003730612159410333
S3,wifi_day_rssi_max_max,0.0030177530037658502
S3,wifi_w20_02_rssi_max_max,0.0025667541068249596
S3,day_app_top_캐시워크,0.002466245639830557
S3,wifi_w20_24_rssi_std_max,0.0023301082614703324
S3,gps_w20_02_gps_lon_mean_median,0.0023044510114851187
S3,gps_w18_24_gps_lon_mean_min,0.0022896076084248903
S3,w22_24_app_top_캐시워크,0.002260664220570773
S3,wifi_w20_24_rssi_max_max,0.0021388903201409065
S3,w18_24_app_top_캐시워크,0.0021023810721369713
S3,gps_w18_24_gps_lon_mean_median,0.0020696465696256046
S3,wifi_w18_24_rssi_std_max,0.002046980207899417
S3,gps_w21_24_gps_lon_mean_median,0.002021386771621073
S3,gps_w21_24_gps_lat_mean_max,0.001966436270051348
S3,gps_w21_24_gps_lon_mean_max,0.0019457228688931952
S3,gps_w20_02_gps_lon_mean_mean,0.0019301681593254865
S3,wifi_w20_02_scan_count_median,0.0018924573287209018
S3,gps_w22_24_gps_lon_mean_mean,0.0018499783062000624
S3,gps_w21_24_gps_lon_mean_mean,0.0018356390778135868
S3,gps_w22_24_gps_lon_mean_sum,0.0018149630276051017
S3,gps_w22_24_gps_lon_mean_min,0.0017893841829927043
S3,gps_w20_24_gps_lat_mean_mean,0.0017564030577819692
S3,gps_w20_02_gps_lon_mean_min,0.001744665128302997
S3,gps_w21_24_stationary_ratio,0.0017160504582745925
S3,gps_w18_24_gps_speed_mean_max,0.0017106419418539839
S3,gps_w20_24_gps_lat_mean_median,0.0016835795063819606
S3,gps_w21_24_gps_point_count_std,0.0016510383131147204
S3,w20_02_app_top_캐시워크,0.0016304649393568407
S3,gps_w21_24_gps_lon_mean_min,0.0016249450524262144
S4,gps_w21_24_gps_alt_mean_median,0.006568575522682563
S4,month,0.006389057766026882
S4,wifi_w21_24_rssi_max_median,0.006043347223113641
S4,w20_02_ambience_top1_outside_rural_or_natural_ratio,0.0059825182966485825
S4,is_weekend,0.005852158982132629
S4,gps_w21_24_gps_alt_mean_mean,0.0052296401343990585
S4,ble_w21_24_rssi_max_std,0.004956919902792901
S4,day_app_top_instagram,0.004835253273037796
S4,gps_w21_24_gps_lon_mean_mean,0.004737822824916918
S4,wifi_w21_24_scan_count_min,0.004588188351051375
S4,wifi_w21_24_rssi_max_mean,0.004578585942426728
S4,gps_w21_24_gps_lon_mean_min,0.0045648169734568604
S4,watch_light_w21_24_w_light_median,0.004478390155843344
S4,gps_w21_24_gps_lat_mean_min,0.0044313894340883035
S4,weekday,0.004338926101533263
S4,wifi_w21_24_unique_count_mean,0.004250662753694036
S4,wifi_w21_24_unique_count_min,0.004213268141283543
S4,watch_light_w21_24_w_light_max,0.003921048010317287
S4,phone_light_w21_24_m_light_sum,0.0038600097771625446
S4,w20_02_app_top_통화,0.0038500338743192104
S4,wifi_w21_24_scan_count_median,0.003825515659088289
S4,day_app_top_youtube,0.003765373480856013
S4,wifi_w21_24_unique_count_median,0.0037637405962545087
S4,w22_24_app_top_당근,0.003762933910557376
S4,gps_w21_24_gps_lon_mean_median,0.0037265564710467366
S4,wifi_w21_24_rssi_std_median,0.003691775667971889
S4,gps_w21_24_gps_lat_mean_mean,0.003653538125989598
S4,phone_light_w21_24_m_light_median,0.0036373073990086423
S4,gps_w21_24_gps_lon_mean_max,0.003607255882668752
S4,gps_w21_24_gps_lat_mean_sum,0.003596613369051585
