view,label,mean_log_loss,std_log_loss,max_log_loss
routine_multiday,Q1,0.6171215798867087,0.02149852401976267,0.6515850489285351
routine_multiday,Q2,0.7385202520598033,0.055756469906303764,0.8241350581131125
routine_multiday,Q3,0.6473579413419298,0.02108741063430571,0.6690742683104532
routine_multiday,S1,0.5512701333177994,0.019198579101964455,0.5699098331728364
routine_multiday,S2,0.5950417128932138,0.04186890293856262,0.6416698889188973
routine_multiday,S3,0.5913617932467183,0.03601601473288921,0.6571062292665033
routine_multiday,S4,0.6646495590572329,0.03644206549612212,0.7298366293964342
hidden_hr,Q1,0.6147861146889734,0.020507445825511304,0.6511418348837084
hidden_hr,Q2,0.7438436060499475,0.05928769644678392,0.8402459121474104
hidden_hr,Q3,0.6500700743526258,0.015186354132595725,0.6777223280429311
hidden_hr,S1,0.5470529361414069,0.015426398265921622,0.5611128061671511
hidden_hr,S2,0.5866192622953113,0.04163699847564408,0.6399557027586559
hidden_hr,S3,0.594159237267182,0.055340357699138906,0.6952879006827496
hidden_hr,S4,0.6633677481085933,0.046926763478196964,0.7509881846328018
sequence_routine,Q1,0.6260122281529396,0.02621021455242069,0.6681071415048425
sequence_routine,Q2,0.7394119568041917,0.052822724944375496,0.824480127517575
sequence_routine,Q3,0.66150523628839,0.010682269813746346,0.680657402156432
sequence_routine,S1,0.5607364889141642,0.03215632810877996,0.5985002990811572
sequence_routine,S2,0.6026606465070318,0.04302915758780643,0.6429527327428498
sequence_routine,S3,0.593835034809449,0.03892363844216604,0.6691020987371135
sequence_routine,S4,0.655647662981489,0.03118015455141658,0.712361519489149
raw_hourly,Q1,0.6080544242340652,0.03934073724667023,0.6820955337165587
raw_hourly,Q2,0.7484735266272542,0.07008153650816033,0.8732379418148078
raw_hourly,Q3,0.6686667656230512,0.019214834088580685,0.7018595522721168
raw_hourly,S1,0.5537025048964681,0.024495690864400028,0.5826864475276254
raw_hourly,S2,0.5961290182272708,0.047309431345048315,0.6553746878377024
raw_hourly,S3,0.5921504411114163,0.05202940064259852,0.6917758134642376
raw_hourly,S4,0.6652460657620244,0.05864274611715992,0.7691981122316917
